address, symmAmount
0x3b1b211b3fce0d1ee9f5e1afeecadeb98378d0b0, 123672.542200446
0x0b99363648efea66689d58a553bb015957083c57, 222541.039201942
0x22138a0cff84952c018cbcbf5650149017d6b292, 157549.091083696
0x51256ef00c2485f3a40fe1b6e4e779147bcdbb58, 120999.627730871
0x2b01501c2e2e3200e68f1fdc557a10c82bf05626, 136642.049244571
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36, 229532.434700976
0xfa537c114edd1d85a6019222c1c0e90707d2088d, 119083.440304247
0xd3d5458c07b655cd79d4814a52f42eb8fc59c24c, 127574.009670643
0x193db18a5ef9a0320b7374c1fe8af976235f3211, 118420.153250923
0x2aa6b66ce9432a67953d1f37533cf0b05a5f6e08, 118037.187621949
0x4bf4421ce8208b2e54c0b7e0b142192b47e69c4a, 116499.560639234
0xae4eef02e0ee91061115fdf580d725d1544a2922, 141357.282234332
0xc166b67c8d94c1c1f9afde897e8ca5d05cd2385c, 224346.148257575
